UniPais;Pais;SC.Lac.Ranking;QS.Ranking;WEB.Ranking.LA;SC.Ibe.Ranking;WEB.Ranking.mundial;QS.Puntuacion;QS.Reputacion.academica;QS.Reputacion.entre.empleadores;QS.Estudiantes.por.profesor;QS.PromArticulos.por.docente;QS.Citas.por.articulo;QS.Docentes.con.doctorado;QS.Impacto.Web;SC.Co.Ranking;SC.Productividad;SC.Colaboracion.Interciol;SC.Impacto.normalizado;SC.Publicaciones.de.alta.calidad;SC.Indice.de.especializacion;SC.Indice.de.excelencia;SC.Liderazgo.cientifico;SC.Excelencia.con.liderazgo;WEB.Presencia;WEB.Impacto;WEB.Apertura;WEB.Excelencia
DE SAO PAULO (USP) - BRA;BRA;1;2;1;1;29;98,9;100;100;65;100;84,2;100;100;1;52908;26,36;0,86;38,33;0,38;8,76;60,26;4,01;8622;11044;9523;5078
NAL AUTONO DE  (UM) - MEX;MEX;2;8;2;3;50;91;100;99,9;71,4;54,2;87,5;60,3;100;1;21423;39,98;0,81;43,82;0,3;8,1;59,53;3,29;8607;11049;9492;4854
Es DE CAMPIS (UNICAMP) - BRA;BRA;4;3;8;6;335;97,1;100;99,5;59,8;100;75,2;100;97,6;3;18649;22,56;0,85;37,67;0,51;8,78;59,77;4,35;7231;10665;9405;4832
BUENOS AIRES - ARG;ARG;7;19;7;15;276;81,3;100;100;29,6;39,6;98,4;14;98,6;1;12825;41,02;1,03;51,25;0,18;10,68;61,53;3,87;8166;10743;9338;4794
DO RD Janeiro FED - BRA;BRA;5;4;5;7;240;95,5;99,9;82,1;71,9;99,5;82,3;100;99;4;16590;28,54;0,9;39,45;0,47;8,94;56,4;3,31;8300;10824;9358;4778
EEs PAULISTA JULIO MESQU  - BRA;BRA;3;9;11;5;373;90,3;89,9;78,9;84,9;99,9;56,9;100;97,6;2;19119;18,36;0,72;30,1;0;6,72;61,13;2,8;8068;10374;9439;4763
Fe DO RG D SUL - BRA;BRA;6;10;3;11;206;87,3;95,5;65,9;58;100;62,7;100;98,9;5;14013;23,83;0,82;35,32;0,41;8,38;61,46;4,3;8631;10611;9485;4736
Fe MG - BRA;BRA;8;10;9;16;354;87,3;94,9;64,7;48,7;100;77;100;98,2;6;12293;24,6;0,88;36,27;0,38;9,12;61,07;4,45;8156;10591;9311;4715
U de  - CHL;CHL;10;6;6;24;248;94,1;100;100;38,8;99,7;92,4;73;99,1;1;9175;47,36;0,98;43,1;0,33;10,86;58,5;4,8;8531;10799;9291;4694
POTFIC CATOLICA DE  - CHL;CHL;13;1;24;30;757;100;100;100;74,5;96,8;98,7;96;93,9;2;7212;47,71;1,2;47,64;0,16;13,19;56,07;4,2;6908;10093;8203;4637
Fe DE SAO PAULO (UNIFESP) - BRA;BRA;9;15;54;21;1181;84,2;75,8;52,8;97;100;91,8;100;86;7;10191;20,4;0,85;39,53;0,33;7,68;59,08;3,03;5488;8927;7527;4622
NAL DPL - ARG;ARG;15;21;18;34;539;79,2;99,1;88,9;28,6;42,7;91,5;25,7;96,6;2;6959;43,9;0,92;45,02;0,02;9,69;58,53;3,61;8588;9963;9212;4456
Fe SCT - BRA;BRA;11;41;4;28;235;70;81,1;38;47,9;50,8;54,6;100;99,4;8;7801;24,14;0,81;35,19;0,42;8,23;61,65;4,65;8401;10918;9400;4451
DO ESTADO DO R de Janeiro (UERJ) - BRA;BRA;24;34;35;49;872;75,2;58,3;55,3;78,2;84,9;80,2;100;93,1;16;5140;25,68;0,97;39,46;0,05;9,52;50,06;1,67;7205;9538;8845;4399
DE BRASILIA - BRA;BRA;19;17;13;39;474;82,2;90,5;55,5;71,4;89,3;48,2;99,7;97,9;11;6237;25,19;0,71;32,23;0,23;6,94;57,53;2,48;8043;10567;9237;4315
Fe DE SAO CARLOS - BRA;BRA;21;18;43;44;979;82;68,6;71,5;92,5;99,8;54,1;100;91,8;13;5607;20,33;0,76;36,31;0,25;7,83;55,09;3,35;7294;9221;8748;4300
LA REPUBLICA (UDELAR) - URY;URY;33;54;137;70;2136;63,8;82,9;59,1;70,2;14,2;91,3;4,8;64,6;1;3536;62,19;0,95;47,79;0,23;11,21;59,67;5,16;3656;6997;4327;4290
Fe DO PARA (UFPR) - BRA;BRA;14;40;12;32;418;71,2;64,7;33,8;82,5;95,8;46,9;98,5;98,2;9;7128;21,8;0,65;30,12;0,13;5,9;58,32;2,6;8474;10469;9393;4288
Fe DO PERMBUCO - BRA;BRA;17;43;21;37;665;68,2;68,2;32,1;58,3;93,9;37,6;100;96,3;10;6436;23,17;0,8;29,29;0,34;6,92;60,13;3,43;7701;10227;9057;4287
CONCEPCION - CHL;CHL;28;12;32;61;847;86,1;91,9;87,4;36,5;89,6;80,7;75,2;94,1;3;4170;54,05;0,89;45,23;0,06;9,29;55,85;3,29;6962;10158;8074;4284
LOS ANDES  - COL;COL;47;5;38;91;928;94,7;99,8;100;52,5;86,7;94,2;83,8;92,9;3;2572;55,44;1,31;40,2;0,01;15,6;52,68;2,53;7119;9600;8646;4267
Fe DO CEARA (UFC) - BRA;BRA;22;100;17;47;530;49,1;32,5;;42,7;89,4;52,8;91,4;97,7;14;5306;23,92;0,77;33,81;0,22;7,79;59,97;3,95;7726;10704;8886;4260
INSTITUTO POLITECNICO NAL (IPN) - MEX;MEX;16;26;23;35;693;78;77,1;95,2;73,8;59,8;79,4;18,1;96;3;6932;29,05;0,67;33,66;0,41;6,85;56,02;2,91;7721;10054;9210;4216
Fe DA BAHIA - BRA;BRA;29;73;14;63;480;56,5;46,4;16,3;98,6;50;63,2;61,1;98,1;18;4053;24,35;0,78;33,48;0,13;7,23;54,48;2,88;8196;10632;9121;4198
NAL DE CORDOBA - ARG;ARG;30;25;19;64;615;78,5;98,7;93,3;15,4;42,2;79,2;37,1;97,1;29;3947;39,6;0,82;52,47;0,12;7,88;66,08;4,13;8208;10353;8931;4196
NAL DE  - COL;COL;18;14;10;38;368;84,6;99,9;100;42,8;73,7;27,2;69,7;98,9;1;6402;37,94;0,56;23,73;0,19;5,55;64,95;2,46;8419;10763;9352;4179
